City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount isa,-20.7333,139.5,15.87,72,75,0.0,AU,1689863957
1,portland,45.5234,-122.6762,18.36,81,20,1.54,US,1689863361
2,whitehorse,60.7161,-135.0538,12.12,68,75,1.03,CA,1689863957
3,bilibino,68.0546,166.4372,12.53,80,98,0.78,RU,1689863957
4,longyearbyen,78.2186,15.6401,12.91,50,20,6.69,SJ,1689863958
5,adamstown,-25.066,-130.1015,22.72,80,100,14.42,PN,1689863958
6,gadani,25.1185,66.7299,32.12,85,100,4.62,PK,1689863958
7,al artawiyah,26.5053,45.3444,42.82,6,0,5.12,SA,1689863958
8,puerto natales,-51.7236,-72.4875,1.73,99,100,0.41,CL,1689863958
9,aasiaat,68.7098,-52.8699,3.56,99,100,2.97,GL,1689863959
10,ushuaia,-54.8,-68.3,-0.19,93,100,4.12,AR,1689863959
11,umluj,25.0213,37.2685,34.62,37,10,5.01,SA,1689863959
12,port-aux-francais,-49.35,70.2167,1.73,77,61,20.28,TF,1689863959
13,georgetown,5.4112,100.3354,28.97,87,20,1.54,MY,1689863845
14,uturoa,-16.7333,-151.4333,24.45,64,32,8.17,PF,1689863959
15,wagga wagga,-35.1167,147.3667,9.36,97,100,1.53,AU,1689863959
16,corner brook,48.9667,-57.9484,24.09,87,100,1.14,CA,1689863956
17,porto-vecchio,41.591,9.2795,35.81,41,0,8.23,FR,1689863960
18,utrik,11.2278,169.8474,28.52,77,100,7.29,MH,1689863960
19,puerto ayora,-0.7393,-90.3518,25.98,96,81,4.02,EC,1689863960
20,invercargill,-46.4,168.35,3.62,84,5,4.21,NZ,1689863960
21,wailua homesteads,22.0669,-159.378,26.44,90,75,7.2,US,1689863960
22,bethel,41.3712,-73.414,27.55,67,40,1.54,US,1689863939
23,ribeira grande,38.5167,-28.7,22.22,94,40,2.24,PT,1689863960
24,west island,-12.1568,96.8225,25.99,73,100,7.2,CC,1689863960
25,waitangi,-43.9535,-176.5597,6.57,92,100,1.34,NZ,1689863961
26,grytviken,-54.2811,-36.5092,-4.12,82,100,0.81,GS,1689863961
27,bredasdorp,-34.5322,20.0403,12.01,62,11,6.91,ZA,1689863961
28,skelleftea,64.7507,20.9528,17.78,95,75,3.6,SE,1689863961
29,vorgashor,67.5833,63.95,23.95,64,91,3.04,RU,1689863961
30,blackmans bay,-43.0167,147.3167,8.07,80,99,2.79,AU,1689863961
31,fort st. john,56.2499,-120.8529,13.94,88,0,1.03,CA,1689863955
32,ishikawa,26.4233,127.8214,29.18,70,0,1.54,JP,1689863962
33,port mathurin,-19.6833,63.4167,23.4,70,11,9.16,MU,1689863962
34,haiku-pauwela,20.9219,-156.3051,24.47,86,20,7.2,US,1689863962
35,hermanus,-34.4187,19.2345,14.33,61,4,8.25,ZA,1689863962
36,saint-paul,-21.0096,55.2707,24.06,96,31,0.73,RE,1689863962
37,minas de marcona,-15.2119,-75.1103,16.75,63,43,2.89,PE,1689863962
38,sandnessjoen,66.0217,12.6316,16.29,77,40,2.57,NO,1689863962
39,mount pearl,47.5166,-52.7813,27.47,79,75,8.23,CA,1689863764
40,santo antonio,-6.3106,-35.4789,27.88,57,36,8.58,BR,1689863962
41,lwowek slaski,51.1107,15.5858,21.6,54,87,4.1,PL,1689863963
42,mount gambier,-37.8333,140.7667,6.32,83,14,2.71,AU,1689863963
43,egilsstadir,65.2653,-14.3948,10.95,66,0,6.17,IS,1689863963
44,enewetak,11.3474,162.3373,28.51,80,43,6.16,MH,1689863963
45,quellon,-43.1167,-73.6167,14.14,88,100,6.17,CL,1689863963
46,ebaye,8.7748,167.7392,28.01,83,40,6.17,MH,1689863963
47,hawaiian paradise park,19.5933,-154.9731,23.35,98,100,3.09,US,1689863963
48,colonia,50.9333,6.95,25.03,45,0,3.09,DE,1689863752
49,tura,25.5198,90.2201,25.51,92,100,1.73,IN,1689863964
50,quesnel,52.9999,-122.5029,16.28,82,0,1.03,CA,1689863964
51,kuanda,56.3161,116.0806,9.35,89,35,1.21,RU,1689863964
52,port alfred,-33.5906,26.891,12.32,64,68,1.34,ZA,1689863964
53,saipan,15.1355,145.701,28.39,100,40,3.13,MP,1689863964
54,okhotsk,59.3833,143.3,12.33,93,58,2.0,RU,1689863964
55,pangody,65.85,74.4859,24.28,57,94,3.43,RU,1689863965
56,camarinas,43.1311,-9.1817,22.74,74,5,4.1,ES,1689863965
57,aragarcas,-15.8975,-52.2508,31.36,35,0,5.14,BR,1689863965
58,sao jose do egito,-7.4789,-37.2744,29.23,29,2,6.81,BR,1689863965
59,maxixe,-23.8597,35.3472,19.9,94,75,5.14,MZ,1689863965
60,salekhard,66.53,66.6019,21.94,71,98,4.63,RU,1689863965
61,puerto baquerizo moreno,-0.9,-89.6,24.55,94,40,5.66,EC,1689863966
62,kayangel,8.0823,134.7173,28.75,78,100,9.83,PW,1689863966
63,edinburgh of the seven seas,-37.0676,-12.3116,11.79,67,39,10.97,SH,1689863966
64,crane,31.3974,-102.3501,28.16,47,95,7.79,US,1689863780
65,mayya,61.7333,130.2811,13.62,99,100,2.5,RU,1689863966
66,iqaluit,63.7506,-68.5145,3.85,100,100,3.09,CA,1689863966
